column_name,display_name,unit,sort_order
kalori,Kalori,kkal,1
protein,Protein,g,2
lemak,Lemak,g,3
karbohidrat,Karbohidrat,g,4
vitamin_a,Vitamin A,mcg,5
vitamin_d,Vitamin D,mcg,6
vitamin_e,Vitamin E,mg,7
vitamin_k,Vitamin K,mcg,8
vitamin_b1,Vitamin B1 (Tiamin),mg,9
vitamin_b2,Vitamin B2 (Riboflavin),mg,10
vitamin_b3,Vitamin B3 (Niasin),mg,11
vitamin_b5,Vitamin B5,mg,12
vitamin_b6,Vitamin B6,mg,13
folat,Folat (B9),mcg,14
vitamin_b12,Vitamin B12,mcg,15
biotin,Biotin (B7),mcg,16
kolin,Kolin,mg,17
vitamin_c,Vitamin C,mg,18
kalsium,Kalsium,mg,19
fosfor,Fosfor,mg,20
magnesium,Magnesium,mg,21
besi,Zat Besi,mg,22
iodium,Iodium,mcg,23
seng,Seng (Zinc),mg,24
selenium,Selenium,mcg,25
mangan,Mangan,mg,26
flour,Flourida,mg,27
kromium,Kromium,mcg,28
kalium,Kalium,mg,29
natrium,Natrium,mg,30
klor,Klorida,mg,31
tembaga,Tembaga,mg,32