id,category,gender,start_month,end_month,calories,protein,fat,carbohydrates,fiber,water
1,child,unspecified,0,5,550,9,31,59,0,700
2,child,unspecified,6,11,800,15,35,105,11,900
3,child,unspecified,12,36,1350,20,45,215,19,1150
4,child,unspecified,37,72,1400,25,50,220,20,1450
5,child,unspecified,73,119,1650,40,55,250,23,1650
6,male,male,120,155,2000,50,65,300,28,1850
7,male,male,156,191,2400,70,80,350,34,2100
8,male,male,192,227,2650,75,85,400,37,2300
9,male,male,228,359,2650,65,75,430,37,2500
10,male,male,360,599,2550,65,70,415,36,2500
11,male,male,600,779,2150,65,60,340,30,2500
12,male,male,780,960,1800,64,50,275,25,1800
13,male,male,961,9999,1600,64,45,235,22,1600
14,female,female,120,155,1900,55,65,280,27,1850
15,female,female,156,191,2050,65,70,300,29,2100
16,female,female,192,227,2100,65,70,300,29,2150
17,female,female,228,359,2250,60,65,360,32,2350
18,female,female,360,599,2150,60,60,340,30,2350
19,female,female,600,779,1800,60,50,280,25,2350
20,female,female,780,960,1550,58,45,230,22,1550
21,female,female,961,9999,1400,58,40,200,20,1400
22,pregnancy_t1,female,0,9999,180,1,2.3,25,3,300
23,pregnancy_t2,female,0,9999,300,10,2.3,40,4,300
24,pregnancy_t3,female,0,9999,300,30,2.3,40,4,300
25,lactation_m1_6,female,0,9999,330,20,2.2,45,5,800
26,lactation_m7_12,female,0,9999,400,15,2.2,55,6,650